adprĕhendo, is, ere, di,sum |19|ādprĕhēndo|ādprĕhēnd|ādprĕhēnd|ādprĕhēns
adprĭmo, is, ere, pressi, pressum |19|ādprĭmo|ādprĭm|ādprēss|ādprēss
adprŏbo, as, are |17|ādprŏbo|ādprŏb|ādprŏbāv|ādprŏbāt
adprōno, as, are |17|ādprōno|ādprōn|ādprōnāv|ādprōnāt
adpugno, as, are |17|ādpūgno|ādpūgn|ādpūgnāv|ādpūgnāt
adpulsus, us, m. |9|ādpūlsus|ādpūls||
adquĭesco, is, ere, quieui, quietum |19|ādquĭēsco|ādquĭēsc|ādquĭēv|ādquĭĕt
adquīro, is, ere, quisiui, quisitum |19|ādquīro|ādquīr|ādquīsīv|ādquīsīt
Adrăna, ae, m. |0|Ā̆drăna|Ā̆drăn||
adrēpo, is, ere, repsi, - |19|ā̆drēpo|ā̆drēp|ā̆drēps|
adrīdĕo, es, ere, risi, risum |18|ā̆drīdĕo|ā̆drīd|ā̆drīs|ā̆drīs
adrĭgo, is, ere, rexi, rectum |19|ā̆drĭgo|ā̆drĭg|ā̆drēx|ā̆drēct
adrĭpĭo, (arr-) is, ere, ripui, reptum |20|ā̆drĭpĭo|ā̆drĭp|ā̆drĭpŭ|ā̆drēpt
adrŏganter, adv. |30|ā̆drŏgāntĕr|||
adrŏgantia, ae, f. |0|ā̆drŏgāntĭa|ā̆drŏgānti||
adrŏgo, as, are |17|ā̆drŏgo|ā̆drŏg|ā̆drŏgāv|ā̆drŏgāt
adscĭo, is, ire |21|ādscĭo|ādsc||
adscisco, is, ere, iui, itum |19|ādscīsco|ādscīsc|ādscīv|ādscīt
adscrībo, is, ere, scripsi, scriptum |19|ādscrībo|ādscrīb|ādscrīps|ādscrīpt
adsectātĭo, onis, f. |5|ādsēctātĭō̆|ādsēctātĭōn||
adsectātor, oris, m. |5|ādsēctātŏr|ādsēctātōr||
adsector, aris, ari |24|ādsēctor|ādsēct||ādsēctāt
adsensĭo, onis, f. |5|ādsēnsĭō̆|ādsēnsĭōn||
adsensus, us, m. |9|ādsēnsus|ādsēns||
adsentĭor, iris, iri, sensus sum |28|ādsēntĭor|ādsēnt||ādsēns
adsentĭo, is, ere, sensi, sensum |19|ādsēntĭo|ādsēntĭ|ādsēns|ādsēns
adsentor, aris, ari |24|ādsēntor|ādsēnt||ādsēntāt
adsĕquor, eris, i, secutus sum |26|ādsĕquor|ādsĕqu||ādsĕcūt
adservo, as, are |17|ādsērvo|ādsērv|ādsērvāv|ādsērvāt
adsĕvērātĭo, ionis, f. |5|ādsĕvērātĭō̆|ādsĕvērātĭōn||
adsĕvēro, as, are |17|ādsĕvēro|ādsĕvēr|ādsĕvērāv|ādsĕvērāt
adsĭdĕo, es, ere, sedi, sessum |18|ādsĭdĕo|ādsĭd|ādsēd|ādsēss
adsĭdŭē, adv. |30|ādsĭdŭē|||
adsĭdŭĭtās, atis, f. |5|ādsĭdŭĭtās|ādsĭdŭĭtāt||
adsĭduō, adv. |30|ādsĭdŭō|||
adsĭdŭus, a, um |11|ādsĭdŭus|ādsĭdŭ|ādsĭdŭĭōr|ādsĭdŭīssĭm
adsigno, as, are |17|ādsīgno|ādsīgn|ādsīgnāv|ādsīgnāt
adsĭmŭlo, as, are |17|ādsĭmŭlo|ādsĭmŭl|ādsĭmŭlāv|ādsĭmŭlāt
adsisto, is, ere, stiti |19|ādsīsto|ādsīst|ādstĭt|
adsŏlĕo, es, ere |18|ādsŏlĕo|ādsŏl||
adsŏno, as, are |17|ādsŏno|ādsŏn|ādsŏnāv|ādsŏnāt
adspectus, us, m. |9|ādspēctus|ādspēct||
adspĭcĭo, is, ere, spexi, spectum |20|ādspĭcĭo|ādspĭc|ādspēx|ādspēct
adspīro, as, are |17|ādspīro|ādspīr|ādspīrāv|ādspīrāt
adsto, as, are, stiti, stitum |17|ādsto|ādst|ādstĭt|ādstāt
adstrĕpo, is, ere |19|ādstrĕpo|ādstrĕp||
adstringo, is, ere, strinxi, strictum |19|ādstrīngo|ādstrīng|ādstrīnx|ādstrīct
adstŭpĕo, es, ere |18|ādstŭpĕo|ādstŭp||
adsŭesco, is, ere, eui, etum |19|ādsŭēsco|ādsŭēsc|ādsŭēv|ādsŭēt
adsŭētūdō, inis, f. |5|ādsŭētūdō|ādsŭētūdĭn||
adsulto, as, are |17|ādsūlto|ādsūlt|ādsūltāv|ādsūltāt
adsultus, us, m. |9|ādsūltus|ādsūlt||
adsūmo, is, ere, sumpsi, sumptum |19|ādsūmo|ādsūm|ādsūmps|ādsūmpt
ădsŭm, es, esse, adfui |22|ādsŭm|ăd|ādfu|
adsurgo, is, ere, surrexi, surrectum |19|ādsūrgo|ādsūrg|ādsūrrēx|ādsūrrēct
adtendo, is, ere, tendi, tentum |19|ādtēndo|ādtēnd|ādtēnd|ādtēnt
adtexo, is, ere, texui, textum |19|ādtēxo|ādtēx|ādtēxu|ādtēxt
adtingo, is, ere, tigi, tactum |19|ādtīngo|ādtīng|ādtīg|ādtāct
adtollo, is, ere |19|ādtōllo|ādtōll||
adtrăho, is, ere, traxi, tractum |19|ādtrăho|ādtrăh|ādtrāx|ādtrāct
adtrecto, as, are |17|ādtrēcto|ādtrēct|ādtrēctāv|ādtrēctāt
adtrĭbŭo, is, ere, tribui, tributum |19|ādtrĭbŭo|ādtrĭbŭ|ādtrĭbŭ|ādtrĭbūt
Adŭātŭci, orum, m. pl. |1|Adŭātŭci|Adŭātŭc||
ădūlātĭo, ionis, f. |5|ădūlātĭō̆|ădūlātĭōn||
ădūlātor, oris, m. |5|ădūlātŏr|ădūlātōr||
ădŭlescens, entis, m. |6|ădŭlēscēns|ădŭlēscēnt||
ădŭlescentĭa, ae, f. |0|ădŭlēscēntĭa|ădŭlēscēntĭ||
ădŭlescentŭlus, i, m. |1|ădŭlēscēntŭlus|ădŭlēscēntŭl||
ădūlor, aris, ari |24|ădūlor|ădūl||ădūlāt
ădūlo, as, are |17|ădūlo|ădūl|ădūlāv|ădūlāt
ădultĕrīnus, a, um |11|ădūltĕrīnus|ădūltĕrīn|ădūltĕrīnĭōr|ădūltĕrīnīssĭm
ădultĕrĭum, i, n. |4|ădūltĕrĭum|ădūltĕrĭ||
ădulter, era, erum |12|ădūlter|ădūlt|ădūltĕrĭōr|ădūltērrĭm
ădultus, a, um |11|ădūltus|ădūlt|ădūltĭōr|ădūltīssĭm
ădumbro, as, are |17|ădūmbro|ădūmbr|ădūmbrāv|ădūmbrāt
ăduncus, a, um |11|ădūncus|ădūnc|ădūncĭōr|ădūncīssĭm
ădurgĕo, es, ere |18|ădūrgĕo|ădūrg||
